Title,Artist,Year,Position,Ave BPM,Ave Pitch STD,Ave Pitch Value,Pitch Variation,Pitch Range,Mode Polarity,Note Onset Density
Never Gonna Give You Up,Rick Astley,1988,4,113.0,2.776666666666666,60.14705882352941,7,12,1.0,2.58
Sweet Child O'Mine,Guns N' Roses,1988,5,125.0,2.4600000000000004,65.62352941176471,12,21,1.0,1.8699999999999999
Look Away,Chicago,1989,1,86.0,3.3033333333333332,59.206896551724135,9,14,1.0,2.186666666666667
My Prerogative,Bobby Brown,1989,2,110.0,2.5116666666666667,59.102296450939455,14,21,1.0,2.563333333333333
Every Rose Has Its Thorn,Poison,1989,3,70.0,2.4099999999999997,56.24404761904762,8,14,1.0,1.876666666666667
Straight Up,Paula Abdul,1989,4,96.0,2.0483333333333333,65.4472049689441,10,15,1.0,2.1999999999999997
Miss You Much,Janet Jackson,1989,5,115.0,2.882,68.17574257425743,14,21,-1.0,2.174
Hold On,Wilson Phillips,1990,1,98.0,3.295,64.04331450094162,10,15,1.0,2.42
It Must Have Been Love,Roxette,1990,2,81.0,2.545,65.31929824561404,10,17,1.0,1.6400000000000001
Nothing Compares 2 U,Sinead O'Connor,1990,3,60.0,3.4166666666666665,65.2226148409894,13,20,1.0,1.4066666666666665
Poison,Bell Biv DeVoe,1990,4,112.0,2.4066666666666667,63.08029197080292,6,9,-1.0,2.0966666666666667
Vogue,Madonna,1990,5,116.0,2.866666666666667,66.87539936102236,12,19,1.0,2.223333333333333
(Everything I Do) I Do It For You,Bryan Adams,1991,1,66.0,2.714,63.94377510040161,13,16,1.0,1.258
I Wanna Sex You Up,Color Me Badd,1991,2,101.0,3.275,62.333333333333336,12,19,-1.0,2.465
Gonna Make You Sweat (Everybody Dance Now),C&C Music Factory,1991,3,112.0,1.8033333333333335,71.37096774193549,7,12,0.75,1.5166666666666666
Rush Rush,Paula Abdul,1991,4,90.0,2.4475000000000002,64.79726651480638,7,12,1.0,2.165
One More Try,Timmy T,1991,5,75.0,2.5733333333333333,58.772893772893774,8,12,1.0,1.5466666666666666
End of the Road,Boyz II Men,1992,1,150.0,2.8833333333333333,60.60454545454545,13,22,-1.0,1.7066666666666668
Save the Best for Last,Vanessa Williams,1992,4,96.0,3.915,63.263565891472865,11,21,1.0,1.635
Baby-Baby-Baby,TLC,1992,5,92.0,2.656,58.039808917197455,9,17,-1.0,2.374
I Will Always Love You,Whitney Houston,1993,1,68.0,3.2775,66.375,16,22,1.0,1.3450000000000002
Can't Help Falling in Love,UB40,1993,3,86.0,3.1550000000000002,61.80232558139535,12,22,1.0,1.315
That's the Way Love Goes,Janet Jackson,1993,4,98.0,2.0033333333333334,60.166666666666664,8,14,1.0,1.7833333333333332
Freak Me,Silk,1993,5,134.0,4.74,60.68032786885246,11,24,-1.0,1.59
The Sign,Ace of Base,1994,1,97.0,2.46,66.08823529411765,12,15,-0.75,2.6
I Swear,All-4-One,1994,2,83.0,3.8633333333333333,59.29381443298969,15,19,-1.0,1.3733333333333333
I'll Make Love to You,Boyz II Men,1994,3,72.0,3.17,62.46031746031746,12,21,1.0,1.77
The Power of Love,Celine Dion,1994,4,70.0,2.6799999999999997,67.40117994100295,11,17,1.0,1.0933333333333335
Hero,Mariah Carey,1994,5,60.0,3.1300000000000003,65.23743016759776,14,17,1.0,1.5633333333333335
Gangsta's Paradise,Coolio feat. L.V.,1995,1,80.0,1.89,60.96629213483146,6,10,0.6666666666666666,2.235
Waterfalls,TLC,1995,2,86.0,2.5733333333333333,58.76086956521739,12,15,1.0,2.5433333333333334
Creep,TLC,1995,3,93.0,2.8449999999999998,57.036199095022624,9,17,-1.0,2.015
Kiss from a Rose,Seal,1995,4,132.0,3.42,60.29455909943715,16,19,-1.0,1.9675
On Bended Knee,Boyz II Men,1995,5,58.0,4.6175,63.57085020242915,23,28,1.0,1.8975
Macarena (Bayside Boys Remix),Los del Rio,1996,1,103.0,1.855,57.31707317073171,7,12,1.0,4.33
One Sweet Day,Mariah Carey and Boyz II Men,1996,2,64.0,3.176666666666667,61.1025641025641,18,22,1.0,1.4666666666666668
Because You Loved Me,Celine Dion,1996,3,60.0,3.78,64.07186858316221,17,24,1.0,1.8633333333333333
Nobody Knows,The Tony Rich Project,1996,4,88.0,2.04,56.25987525987526,7,12,1.0,2.15
Always Be My Baby,Mariah Carey,1996,5,79.0,3.31,65.79568106312293,17,19,1.0,2.4975
Something About The Way You Look Tonight,Elton John,1997,1a,72.0,3.7399999999999998,59.94157303370787,13,20,1.0,1.5150000000000001
Candle in the Wind,Elton John,1997,1b,63.0,3.5549999999999997,56.5225,12,17,1.0,4.15
Foolish Games,Jewel,1997,2a,68.0,3.323333333333333,62.84280936454849,11,17,1.0,1.6233333333333333
You Were Meant for Me,Jewel,1997,2b,112.0,2.4433333333333334,62.883374689826304,10,16,-1.0,2.1066666666666665
I'll Be Missing You,Diddy feat. Faith Evans and 112,1997,3,110.0,2.37,68.95454545454545,7,12,1.0,1.6949999999999998
Un-Break My Heart,Toni Braxton,1997,4,110.0,3.106666666666667,62.01453488372093,22,25,-1.0,1.7566666666666666
Too Close,Next,1998,1,100.0,4.105,60.080882352941174,11,21,1.0,2.475
The Boy Is Mine,Brandy and Monica,1998,2,93.0,2.665,61.52795031055901,8,12,1.0,2.605
You're Still the One,Shania Twain,1998,3,67.0,3.06,63.148148148148145,10,15,1.0,1.855
Truly Madly Deeply,Savage Garden,1998,4,84.0,2.1425,60.5515587529976,7,12,1.0,2.1725000000000003
